V_fluid	Pressure	Strain_rate	Hoop_stress
    0.586825            0            0 -3.70566e+07
    0.678623  2.91038e-11  6.93889e-17 -3.71605e+07
    0.734984  2.91038e-11  2.77556e-17 -3.70316e+07
    0.734605  4.36557e-11  5.55112e-17 -3.64727e+07
    0.729015 -1.45519e-11  9.71445e-17 -3.56356e+07
    0.720215  5.82077e-11  3.46945e-17 -3.43417e+07
    0.707835  4.36557e-11  4.85723e-17 -3.24071e+07
    0.693475 -1.45519e-11 -3.46945e-17 -2.97263e+07
     0.68245  2.91038e-11  1.38778e-17 -2.64202e+07
    0.682496            0            0  -2.3013e+07
    0.705662  5.09317e-11  2.77556e-17 -2.04342e+07
    0.727962  3.63798e-11  1.38778e-17 -1.88265e+07
    0.762484  2.18279e-11  2.08167e-17 -1.63191e+07
    0.816124  7.27596e-12            0 -1.24187e+07
    0.894496  9.82254e-11  1.38778e-17 -6.67926e+06
    0.996788  7.54881e-11            0       922671
     1.10924 -1.30967e-10            0  9.48554e+06
     1.20097  1.45519e-11 -2.77556e-17    1.686e+07
     1.22507  1.30967e-10            0  1.95331e+07
      1.2198  1.16415e-10 -2.77556e-17  1.99055e+07
     1.21186  5.82077e-11 -5.55112e-17  2.04977e+07
     1.19997 -5.82077e-11 -2.77556e-17  2.14118e+07
     1.18286  4.36557e-11 -2.77556e-17  2.27229e+07
     1.16005  1.16415e-10 -2.77556e-17  2.43719e+07
     1.13404 -1.45519e-11  1.38778e-17  2.60583e+07
     1.10751  5.82077e-11  2.77556e-17  2.72281e+07
     1.08349  2.91038e-11  2.77556e-17  2.71948e+07
     1.05325 -1.45519e-11  5.55112e-17  2.68021e+07
      1.0062  8.73115e-11 -2.77556e-17  2.61824e+07
    0.934778  8.73115e-11            0  2.52609e+07
